district,village,ph,turbidity,tds,do,nitrate
Tiruchirappalli,Srirangam,7.1,5,300,6,20
Tiruchirappalli,Thiruverumbur,6.8,8,500,5,40
Tiruchirappalli,Manachanallur,7.5,3,200,7,10
Tiruchirappalli,Irungalur,7.0,6,350,6,25
Tiruchirappalli,Lalgudi,6.9,7,420,5.5,35
Tiruchirappalli,Musiri,7.2,4,280,6.5,18
Tiruchirappalli,Thottiyam,7.3,3,250,7,15
Tiruchirappalli,Manapparai,6.7,9,550,4.5,45
Tiruchirappalli,Samayapuram,7.4,2,180,7.2,12
Tiruchirappalli,Thuraiyur,7.0,5,310,6,22
Tiruchirappalli,Marungapuri,6.8,8,480,5,38
Tiruchirappalli,Kulithalai,7.1,6,330,6,26
Tiruchirappalli,Pullambadi,7.2,4,290,6.8,20
Tiruchirappalli,Kattur,7.3,3,260,7,17
Tiruchirappalli,Uyyakondan,6.9,7,410,5.5,34
Tiruchirappalli,Ariyamangalam,7.5,2,200,7.5,10
Tiruchirappalli,Woraiyur,7.0,5,300,6,24
Tiruchirappalli,Edamalaipatti Pudur,6.8,8,520,5,42
Tiruchirappalli,Palakkarai,7.1,6,340,6,27
Tiruchirappalli,Golden Rock,7.2,4,270,6.7,19
Tiruchirappalli,BHEL Township,7.3,3,240,7,16
Tiruchirappalli,Navalpattu,6.9,7,420,5.5,35
Tiruchirappalli,Ponmalai,7.5,2,210,7.5,11
Tiruchirappalli,Kajamalai,7.0,5,310,6,25
Tiruchirappalli,Sundar Nagar,6.8,8,510,5,41
Tiruchirappalli,K.K. Nagar,7.1,6,360,6,29
Tiruchirappalli,Allithurai,7.2,4,310,6.8,22
Tiruchirappalli,Jeeyapuram,7.3,3,280,7,19
Tiruchirappalli,Panayapuram,6.9,7,430,5.5,36
Tiruchirappalli,Thayanur,7.5,2,220,7.5,12
